lr 1e-3

Training Epoch 1 --- Training Accuracy:  18.8%, Validation Accuracy:   0.0%,  Validation Loss: 4.608
Training Epoch 34 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 6.924
Training Epoch 35 --- Training Accuracy: 100.0%, Validation Accuracy:  43.8%,  Validation Loss: 6.848
Training Epoch 36 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 2.601
Training Epoch 37 --- Training Accuracy: 100.0%, Validation Accuracy:  43.8%,  Validation Loss: 10.755
Training Epoch 38 --- Training Accuracy: 100.0%, Validation Accuracy:  56.2%,  Validation Loss: 5.978
Training Epoch 39 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 3.981
Training Epoch 40 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 6.471
Training Epoch 41 --- Training Accuracy: 100.0%, Validation Accuracy:  56.2%,  Validation Loss: 4.311
Training Epoch 42 --- Training Accuracy: 100.0%, Validation Accuracy:  37.5%,  Validation Loss: 7.375
Training Epoch 43 --- Training Accuracy: 100.0%, Validation Accuracy:  31.2%,  Validation Loss: 11.896
Training Epoch 44 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 5.709
Training Epoch 45 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 1.382
Training Epoch 46 --- Training Accuracy: 100.0%, Validation Accuracy:  56.2%,  Validation Loss: 11.498
Training Epoch 47 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 12.870
Training Epoch 48 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 11.765
Training Epoch 49 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 4.074
Training Epoch 50 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 9.451
Training Epoch 51 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 6.424
Training Epoch 52 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 5.417
Training Epoch 53 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 4.878
Training Epoch 54 --- Training Accuracy: 100.0%, Validation Accuracy:  56.2%,  Validation Loss: 6.500
Training Epoch 55 --- Training Accuracy: 100.0%, Validation Accuracy:  56.2%,  Validation Loss: 6.524
Training Epoch 56 --- Training Accuracy: 100.0%, Validation Accuracy:  43.8%,  Validation Loss: 9.291
Training Epoch 57 --- Training Accuracy: 100.0%, Validation Accuracy:  87.5%,  Validation Loss: 1.409
Training Epoch 58 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 6.968
Training Epoch 59 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 5.835
Training Epoch 60 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 8.793
Training Epoch 61 --- Training Accuracy: 100.0%, Validation Accuracy:  56.2%,  Validation Loss: 12.096
Training Epoch 62 --- Training Accuracy: 100.0%, Validation Accuracy:  43.8%,  Validation Loss: 6.201
Training Epoch 63 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 3.048

